Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
payload_bytes_mean_2,ARP,0,0,ET,0.5146,0.5325994076150525,0.6415033017201555,0.5325994076150525,0.41165427074092326,0.06283463080892526,0.5325994076150525,0.011601924896240234,0.0010323524475097656
payload_bytes_mean_2,ARP,0,1,ET,0.51265,0.5305662515312239,0.6288519900766412,0.5305662515312239,0.4104537331520347,0.058924841279134665,0.5305662515312239,0.01563286781311035,0.0
payload_bytes_mean_2,ARP,0,2,ET,0.512,0.5299254045159283,0.626617705277988,0.5299254045159283,0.40951868464382196,0.057688293695464576,0.5299254045159283,0.0,0.0
payload_bytes_mean_2,ARP,0,3,ET,0.5142,0.5321659625438029,0.6379392900808633,0.5321659625438029,0.41164626715413555,0.06200309201084497,0.532165962543803,0.0,0.0
payload_bytes_mean_2,ARP,0,4,ET,0.51205,0.5299570524569205,0.6259124216661244,0.5299570524569205,0.4098467799508678,0.05775135503639295,0.5299570524569204,0.0,0.0
payload_bytes_mean_2,ARP,0,5,ET,0.51175,0.5296770340393113,0.6256599318093791,0.5296770340393113,0.4091864000299781,0.057209274959851064,0.5296770340393113,0.0,0.0
payload_bytes_mean_2,ARP,0,6,ET,0.5112,0.529099482906,0.622038828780655,0.529099482906,0.40890797925857136,0.056098792778742634,0.5290994829060001,0.0,0.0
payload_bytes_mean_2,ARP,0,7,ET,0.51135,0.5292763637941185,0.623963394492938,0.5292763637941185,0.408702374551252,0.05643689136534813,0.5292763637941185,0.0,0.0
payload_bytes_mean_2,ARP,0,8,ET,0.51195,0.5298568848956222,0.6254914076082966,0.5298568848956222,0.40972583452202277,0.057558251512473735,0.5298568848956222,0.015262842178344727,0.0007646083831787109
payload_bytes_mean_2,ARP,0,9,ET,0.51165,0.5295277042389279,0.6228443293090202,0.5295277042389279,0.4097785421952399,0.05692680263077943,0.5295277042389279,0.0,0.0
payload_bytes_mean_2,ARP,0,10,ET,0.5139,0.5318982346859651,0.6384597407538248,0.5318982346859651,0.4108058117164458,0.061483135632918406,0.5318982346859651,0.0,0.0
payload_bytes_mean_2,ARP,0,11,ET,0.5134,0.5313892031729597,0.6358356915275234,0.5313892031729597,0.4103193317136625,0.060502944283567284,0.5313892031729597,0.0,0.0
payload_bytes_mean_2,ARP,0,12,ET,0.5118,0.5297250693933319,0.6257700651568247,0.5297250693933319,0.4092766841047415,0.0573021003732086,0.5297250693933319,0.0,0.0
payload_bytes_mean_2,ARP,0,13,ET,0.51185,0.5297321362147814,0.6238748664529914,0.5297321362147814,0.40996100233852284,0.057320476663878184,0.5297321362147814,0.007605552673339844,0.0
payload_bytes_mean_2,ARP,0,14,ET,0.5123,0.5302095197867945,0.6270669990462492,0.5302095197867945,0.41011945220187157,0.058237832833971215,0.5302095197867945,0.0,0.0
payload_bytes_mean_2,ARP,0,15,ET,0.51115,0.5290801255247791,0.6233153844899157,0.5290801255247791,0.4084007009698353,0.05605815446422224,0.529080125524779,0.010571718215942383,0.0007348060607910156
payload_bytes_mean_2,ARP,0,16,ET,0.5116,0.5295083468577071,0.624117732042324,0.5295083468577071,0.4092727915837484,0.05688611350443218,0.529508346857707,0.011046171188354492,0.0
payload_bytes_mean_2,ARP,0,17,ET,0.51245,0.5303700132618846,0.6282139533908147,0.5303700132618846,0.4101523701765163,0.05854607575530513,0.5303700132618846,0.003259897232055664,0.0
payload_bytes_mean_2,ARP,0,18,ET,0.5141,0.532078085542276,0.6381865627605877,0.532078085542276,0.41134650628154695,0.061832235465627994,0.532078085542276,0.0,0.0
payload_bytes_mean_2,ARP,0,19,ET,0.51255,0.5304906650894683,0.6296822459784421,0.5304906650894683,0.4099759021848379,0.058776342435568285,0.5304906650894683,0.0,0.0
payload_bytes_mean_2,ARP,0,20,ET,0.514,0.5319861116874919,0.638208629877316,0.5319861116874919,0.41110610268564696,0.061653977161758244,0.531986111687492,0.0,0.0
payload_bytes_mean_2,ARP,0,21,ET,0.51075,0.5286712615730721,0.621221476851146,0.5286712615730721,0.40803601962584735,0.0552708548596732,0.5286712615730721,0.0,0.0
payload_bytes_mean_2,ARP,0,22,ET,0.5137,0.5317306743894253,0.6394363509025469,0.5317306743894253,0.41008438365020783,0.06115630348837764,0.5317306743894253,0.0,0.0
payload_bytes_mean_2,ARP,0,23,ET,0.5134,0.531401493732731,0.636511910175594,0.531401493732731,0.4101399488429142,0.06052520058612332,0.531401493732731,0.0,0.0
payload_bytes_mean_2,ARP,0,24,ET,0.512,0.5299049202496428,0.6256009609569586,0.5299049202496428,0.40981601026213854,0.05765108196959312,0.5299049202496428,0.0,0.0
