Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_std_9,ARP,0,0,ET,0.50415,0.5207410157786045,0.5600970825996181,0.5207410157786045,0.4182042710265689,0.04008530957476242,0.5207410157786047,0.0,0.0
pck_size_std_9,ARP,0,1,ET,0.50185,0.5185805517327441,0.5556766202299381,0.5185805517327441,0.41364619049187484,0.03589992070245385,0.5185805517327441,0.0,0.0
pck_size_std_9,ARP,0,2,ET,0.50485,0.5215159320663199,0.5634176991852752,0.5215159320663199,0.4180786464153217,0.04157703287579495,0.52151593206632,0.0,0.0
pck_size_std_9,ARP,0,3,ET,0.5035,0.5200755876437664,0.5579783591677165,0.5200755876437664,0.41762536596351624,0.038800339190227295,0.5200755876437664,0.0,0.0
pck_size_std_9,ARP,0,4,ET,0.50255,0.5192038844499467,0.5564945100746072,0.5192038844499467,0.41548166747317256,0.03710985770324504,0.5192038844499467,0.0,0.0
pck_size_std_9,ARP,0,5,ET,0.5017,0.5184528330837108,0.5555938917340248,0.5184528330837108,0.41317473246985814,0.03565160037274573,0.5184528330837108,0.0,0.0
pck_size_std_9,ARP,0,6,ET,0.50225,0.5188091541411388,0.554143596100674,0.5188091541411388,0.41634310425691345,0.03635369480385475,0.5188091541411388,0.015714406967163086,0.0
pck_size_std_9,ARP,0,7,ET,0.5056,0.5220480071268018,0.5618300883091346,0.5220480071268018,0.42174854258176364,0.042623258745635995,0.5220480071268018,0.0,0.0
pck_size_std_9,ARP,0,8,ET,0.5034,0.519971323229211,0.5576233139986031,0.519971323229211,0.4175605312181046,0.03859913168232787,0.5199713232292111,0.0026891231536865234,0.0019965171813964844
pck_size_std_9,ARP,0,9,ET,0.50395,0.5205570680690366,0.5597889875841597,0.5205570680690366,0.4177594375489263,0.03972854313549845,0.5205570680690366,0.0,0.0
pck_size_std_9,ARP,0,10,ET,0.5037,0.5201939857012209,0.5572511915070084,0.5201939857012209,0.4189041724624038,0.03903535026478944,0.5201939857012209,0.0,0.0
pck_size_std_9,ARP,0,11,ET,0.50495,0.5214276443777917,0.5604999094981673,0.5214276443777917,0.42060083658134956,0.04142151158175034,0.5214276443777915,0.015720367431640625,0.0
pck_size_std_9,ARP,0,12,ET,0.50295,0.5195103270702264,0.5561619762779201,0.5195103270702264,0.41716391757086657,0.03770889804571764,0.5195103270702264,0.015537500381469727,0.0
pck_size_std_9,ARP,0,13,ET,0.5015,0.5180189773254598,0.5514142536343357,0.5180189773254598,0.41596224508143265,0.03482908783497696,0.5180189773254599,0.0,0.0
pck_size_std_9,ARP,0,14,ET,0.50235,0.5188683531698661,0.5538130100894305,0.5188683531698661,0.4169842356502975,0.036471000545822196,0.5188683531698661,0.0,0.0
pck_size_std_9,ARP,0,15,ET,0.50255,0.5191547222108616,0.5557103495788981,0.5191547222108616,0.4161161822572591,0.0370183727099157,0.5191547222108616,0.0,0.0
pck_size_std_9,ARP,0,16,ET,0.5063,0.5228966667731448,0.566374274719892,0.5228966667731448,0.4207008044150742,0.04425127255465133,0.5228966667731447,0.0,0.0
pck_size_std_9,ARP,0,17,ET,0.5037,0.5201448234621358,0.5564929159570919,0.5201448234621358,0.4195262979031742,0.03894401965100969,0.5201448234621358,0.011011123657226562,0.0
pck_size_std_9,ARP,0,18,ET,0.50095,0.5175192664040333,0.5505720290758893,0.5175192664040333,0.4146606809343609,0.03385983922715308,0.5175192664040333,0.015748262405395508,0.0
pck_size_std_9,ARP,0,19,ET,0.5028,0.5193785115679359,0.5560176407504358,0.5193785115679359,0.41675174618743976,0.037452794992090754,0.5193785115679359,0.0,0.0
pck_size_std_9,ARP,0,20,ET,0.50305,0.5196391726043242,0.5569044925662573,0.5196391726043242,0.4169136079190348,0.03795582251321605,0.5196391726043242,0.0,0.0
pck_size_std_9,ARP,0,21,ET,0.5036,0.5201798520583216,0.5583340830402286,0.5201798520583216,0.4176901987277657,0.03900154351181395,0.5201798520583216,0.0,0.0
pck_size_std_9,ARP,0,22,ET,0.5008,0.517428419434314,0.5510028327994079,0.517428419434314,0.4137176263963492,0.03368039054410965,0.5174284194343138,0.015637636184692383,0.0
pck_size_std_9,ARP,0,23,ET,0.5025,0.5191025900035839,0.5555325059488709,0.5191025900035839,0.41608386261076524,0.0369177682738393,0.5191025900035839,0.0,0.0
pck_size_std_9,ARP,0,24,ET,0.506,0.522587970382736,0.5653565069665263,0.522587970382736,0.42045332375650046,0.04365536138565129,0.522587970382736,0.0,0.0
