Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_mean_WE,MHDis,0,0,ET,0.9668082584214166,0.5415455284552846,0.5216321039539834,0.5415455284552846,0.5274625979854426,0.05668862799564689,0.5415455284552846,0.0,0.0
ts_mean_WE,MHDis,0,1,ET,0.9709572261187395,0.5436455284552846,0.5274539204325205,0.5436455284552846,0.5332477040048178,0.06729641624395388,0.5436455284552846,0.0,0.0
ts_mean_WE,MHDis,0,2,ET,0.9665119035858936,0.5413955284552845,0.5212932658972349,0.5413955284552845,0.527090710274076,0.05602356628485239,0.5413955284552845,0.0,0.0
ts_mean_WE,MHDis,0,3,ET,0.9675985379828114,0.545960569105691,0.5245323016703047,0.545960569105691,0.5310804932748092,0.06376086643902246,0.545960569105691,0.0,0.0
ts_mean_WE,MHDis,0,4,ET,0.967203398202114,0.545760569105691,0.5240230185293784,0.545760569105691,0.5305413076759753,0.06278398807800822,0.545760569105691,0.0,0.0
ts_mean_WE,MHDis,0,5,ET,0.9689815272152524,0.522570325203252,0.5135249623406665,0.522570325203252,0.5163593151843805,0.03375598996616069,0.522570325203252,0.0,0.0
ts_mean_WE,MHDis,0,6,ET,0.9664131186407191,0.5453605691056911,0.5230541173748301,0.5453605691056911,0.5294913100346899,0.060893414832329906,0.5453605691056911,0.0,0.003008604049682617
ts_mean_WE,MHDis,0,7,ET,0.9659191939148474,0.537080487804878,0.5187711287865131,0.537080487804878,0.5238419532155275,0.049644191592031484,0.5370804878048782,0.0,0.0
ts_mean_WE,MHDis,0,8,ET,0.9679936777635089,0.522070325203252,0.5126286168323252,0.522070325203252,0.5153911619907684,0.03204603419038499,0.522070325203252,0.0,0.015629291534423828
ts_mean_WE,MHDis,0,9,ET,0.9688827422700781,0.5385804878048781,0.5221756782521898,0.5385804878048781,0.5274864402658201,0.056182498998834096,0.5385804878048781,0.0,0.015654802322387695
ts_mean_WE,MHDis,0,10,ET,0.9673021831472883,0.5498256097560976,0.5260497825837467,0.5498256097560976,0.5332283901129556,0.06817349420374286,0.5498256097560976,0.0,0.0
ts_mean_WE,MHDis,0,11,ET,0.9666106885310679,0.5494756097560975,0.5251455512352744,0.5494756097560975,0.5322590082109564,0.06641757121566916,0.5494756097560975,0.0,0.0
ts_mean_WE,MHDis,0,12,ET,0.9674009680924627,0.545860569105691,0.5242755026509675,0.545860569105691,0.5308096850744055,0.06326972170003908,0.545860569105691,0.0,0.0
ts_mean_WE,MHDis,0,13,ET,0.9676973229279858,0.5379804878048781,0.520706896093189,0.5379804878048781,0.5259698889254054,0.05343421735531162,0.5379804878048781,0.0,0.0
ts_mean_WE,MHDis,0,14,ET,0.9645362046824064,0.5323654471544715,0.5156411948907146,0.5323654471544715,0.5198353981236865,0.041977700714004085,0.5323654471544715,0.015656471252441406,0.0
ts_mean_WE,MHDis,0,15,ET,0.9664131186407191,0.537330487804878,0.5192799935504513,0.537330487804878,0.5244165853259506,0.050659690866272755,0.5373304878048781,0.0,0.0
ts_mean_WE,MHDis,0,16,ET,0.9667094734762423,0.5334654471544715,0.5176410815091894,0.5334654471544715,0.5221677967984293,0.04604176448036568,0.5334654471544715,0.0,0.0
ts_mean_WE,MHDis,0,17,ET,0.9671046132569396,0.5497256097560976,0.525786072042902,0.5497256097560976,0.5329483262207884,0.06766494939026868,0.5497256097560976,0.015732765197753906,0.0
ts_mean_WE,MHDis,0,18,ET,0.9664131186407191,0.5493756097560976,0.5248965717405956,0.5493756097560976,0.5319875117621143,0.06592798204924744,0.5493756097560977,0.0,0.0
ts_mean_WE,MHDis,0,19,ET,0.9660179788600217,0.5451605691056911,0.5225929035160288,0.5451605691056911,0.5289798851041129,0.05997837226164271,0.545160569105691,0.015627384185791016,0.0
ts_mean_WE,MHDis,0,20,ET,0.9698705917218216,0.539080487804878,0.5235297630527553,0.539080487804878,0.5288173885149205,0.05862446722977155,0.5390804878048782,0.0,0.0
ts_mean_WE,MHDis,0,21,ET,0.9664131186407191,0.537330487804878,0.5192799935504513,0.537330487804878,0.5244165853259506,0.050659690866272755,0.5373304878048781,0.0,0.0
ts_mean_WE,MHDis,0,22,ET,0.9703645164476934,0.539330487804878,0.5242571159521883,0.539330487804878,0.5295076725154026,0.0599014489200429,0.5393304878048781,0.0,0.0
ts_mean_WE,MHDis,0,23,ET,0.9660179788600217,0.5411455284552845,0.5207467331755878,0.5411455284552845,0.5264814824887274,0.05493889948512087,0.5411455284552846,0.0,0.0
ts_mean_WE,MHDis,0,24,ET,0.9686851723797293,0.5505256097560975,0.5280270463827516,0.5505256097560975,0.5352624413229171,0.07189601272798851,0.5505256097560975,0.0,0.0
