Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_FIN_R,OS,0,0,ET,0.7538,0.7538,0.78267344120633,0.7538,0.7473482754559748,0.5076,0.7537999999999999,0.016220808029174805,0.0
TCP_FIN_R,OS,0,1,ET,0.754,0.754,0.7834229403599132,0.754,0.7474453973612499,0.508,0.754,0.01566934585571289,0.0
TCP_FIN_R,OS,0,2,ET,0.7524,0.7524,0.7814355478698228,0.7524,0.7458447359332965,0.5048,0.7524000000000001,0.0019865036010742188,0.0020003318786621094
TCP_FIN_R,OS,0,3,ET,0.75185,0.75185,0.7808021663276692,0.75185,0.7452843729455677,0.5037,0.75185,0.0019953250885009766,0.002004861831665039
TCP_FIN_R,OS,0,4,ET,0.75435,0.7543500000000001,0.7841206409194199,0.7543500000000001,0.7477419949794804,0.5086999999999999,0.75435,0.0,0.0
TCP_FIN_R,OS,0,5,ET,0.7537,0.7537,0.7837030247282579,0.7537,0.7470112922737147,0.5074000000000001,0.7536999999999999,0.0009975433349609375,0.000997781753540039
TCP_FIN_R,OS,0,6,ET,0.7534,0.7534000000000001,0.7822681383344683,0.7534000000000001,0.7469294906871848,0.5067999999999999,0.7534000000000001,0.0019927024841308594,0.0010051727294921875
TCP_FIN_R,OS,0,7,ET,0.75305,0.75305,0.78161795944668,0.75305,0.7466242484159686,0.5061,0.7530499999999999,0.0,0.0
TCP_FIN_R,OS,0,8,ET,0.7519,0.7519,0.7811605970132195,0.7519,0.745272580977369,0.5038,0.7519,0.0054285526275634766,0.0020427703857421875
TCP_FIN_R,OS,0,9,ET,0.7539,0.7539,0.7825839557043694,0.7539,0.747492239336603,0.5078,0.7539,0.0029997825622558594,0.0019979476928710938
TCP_FIN_R,OS,0,10,ET,0.7539,0.7539,0.783352117826627,0.7539,0.747334372496444,0.5078,0.7539,0.0009062290191650391,0.001999378204345703
TCP_FIN_R,OS,0,11,ET,0.7498,0.7498,0.778776522383188,0.7498,0.7431249898358809,0.49960000000000004,0.7498,0.0009996891021728516,0.001997709274291992
TCP_FIN_R,OS,0,12,ET,0.75165,0.7516499999999999,0.7813492272410584,0.7516499999999999,0.7449183958282023,0.5033000000000001,0.7516499999999999,0.015640735626220703,0.0
TCP_FIN_R,OS,0,13,ET,0.75315,0.75315,0.7836056412416534,0.75315,0.7463400359703394,0.5063,0.7531500000000001,0.0,0.0
TCP_FIN_R,OS,0,14,ET,0.75445,0.75445,0.7844383621175006,0.75445,0.7478027040988461,0.5089,0.75445,0.0,0.0
TCP_FIN_R,OS,0,15,ET,0.7531,0.7531,0.7825406952372056,0.7531,0.7464962371170498,0.5062,0.7531,0.0,0.0
TCP_FIN_R,OS,0,16,ET,0.75185,0.7518499999999999,0.7809633084454246,0.7518499999999999,0.7452507453975765,0.5037,0.75185,0.002086162567138672,0.001003265380859375
TCP_FIN_R,OS,0,17,ET,0.75235,0.7523500000000001,0.7811586418946832,0.7523500000000001,0.7458394219985125,0.5046999999999999,0.75235,0.003146648406982422,0.001993894577026367
TCP_FIN_R,OS,0,18,ET,0.75135,0.75135,0.7805265103690735,0.75135,0.7447121161321164,0.5026999999999999,0.75135,0.001974821090698242,0.002007722854614258
TCP_FIN_R,OS,0,19,ET,0.7523,0.7523,0.7808430447366608,0.7523,0.7458422688706831,0.5045999999999999,0.7523,0.002005338668823242,0.0010006427764892578
TCP_FIN_R,OS,0,20,ET,0.7517,0.7517,0.7812622486524554,0.7517,0.7449995023741798,0.5034000000000001,0.7516999999999999,0.002000093460083008,0.0009222030639648438
TCP_FIN_R,OS,0,21,ET,0.7544,0.7544,0.7837062799589483,0.7544,0.7478893715979372,0.5087999999999999,0.7544000000000001,0.003290414810180664,0.0010504722595214844
TCP_FIN_R,OS,0,22,ET,0.75155,0.7515499999999999,0.7806689581437729,0.7515499999999999,0.7449343357213746,0.5031,0.7515499999999999,0.015641450881958008,0.0
TCP_FIN_R,OS,0,23,ET,0.7535,0.7535000000000001,0.7829057182711696,0.7535000000000001,0.7469237010173648,0.507,0.7535000000000001,0.0,0.0035445690155029297
TCP_FIN_R,OS,0,24,ET,0.75345,0.75345,0.7819832067513,0.75345,0.7470511783204834,0.5069,0.75345,0.0,0.0
