Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_window_sum_of_EW,UDP,0,0,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,1,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,2,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0157320499420166,0.0
TCP_window_sum_of_EW,UDP,0,3,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,4,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,5,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0038881301879882812,0.0010485649108886719
TCP_window_sum_of_EW,UDP,0,6,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.004029035568237305,0.002969503402709961
TCP_window_sum_of_EW,UDP,0,7,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.006112575531005859,0.002007722854614258
TCP_window_sum_of_EW,UDP,0,8,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.003947257995605469,0.0016682147979736328
TCP_window_sum_of_EW,UDP,0,9,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0049130916595458984,0.0030858516693115234
TCP_window_sum_of_EW,UDP,0,10,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,11,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,12,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,13,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.01562786102294922,0.0
TCP_window_sum_of_EW,UDP,0,14,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0031151771545410156,0.0020987987518310547
TCP_window_sum_of_EW,UDP,0,15,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,16,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.003321409225463867,0.006012439727783203
TCP_window_sum_of_EW,UDP,0,17,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.015621185302734375,0.0
TCP_window_sum_of_EW,UDP,0,18,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.015603303909301758
TCP_window_sum_of_EW,UDP,0,19,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,20,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.005114316940307617,0.0019969940185546875
TCP_window_sum_of_EW,UDP,0,21,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,22,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,23,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
TCP_window_sum_of_EW,UDP,0,24,ET,0.7468512594962016,0.7469524380495604,0.8318951211417192,0.7469524380495604,0.7295760338883734,0.49380491119603487,0.7469524380495604,0.0,0.0
