Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_mean_6,ACK,0,0,ET,0.4225,0.5538413621499935,0.5760508221847566,0.5538413621499935,0.41389037787233296,0.07327867913439279,0.5538413621499935,0.007383584976196289,0.011697530746459961
ts_mean_6,ACK,0,1,ET,0.42675,0.5573590554821702,0.5799313021569419,0.5573590554821702,0.4186623123687929,0.078225283702399,0.5573590554821702,0.007548809051513672,0.010591268539428711
ts_mean_6,ACK,0,2,ET,0.4235,0.554606889848326,0.5768413330121017,0.554606889848326,0.415034324091339,0.07436242336605958,0.5546068898483258,0.005352973937988281,0.008631467819213867
ts_mean_6,ACK,0,3,ET,0.42395,0.5538279503527928,0.5748568509565012,0.5538279503527928,0.4158925280174683,0.07343263139454748,0.5538279503527928,0.012608528137207031,0.005594015121459961
ts_mean_6,ACK,0,4,ET,0.42375,0.554465149259272,0.5763389753828637,0.554465149259272,0.41542303878062514,0.0742135184779914,0.554465149259272,0.008011102676391602,0.014633655548095703
ts_mean_6,ACK,0,5,ET,0.4286,0.5574496838594745,0.5785979091918373,0.5574496838594745,0.42115632503111716,0.07857290552014073,0.5574496838594745,0.005028247833251953,0.01675724983215332
ts_mean_6,ACK,0,6,ET,0.42265,0.553535767718567,0.5752868512684464,0.553535767718567,0.4141932810242143,0.07291063667843967,0.553535767718567,0.007913827896118164,0.01717853546142578
ts_mean_6,ACK,0,7,ET,0.42815,0.5587340506170777,0.5816461698711266,0.5587340506170777,0.4201650802741699,0.0801306055290224,0.5587340506170777,0.014240503311157227,0.0
ts_mean_6,ACK,0,8,ET,0.4243,0.5542635950023505,0.5754781497220721,0.5542635950023505,0.4162404699887826,0.07402462217908556,0.5542635950023505,0.02722311019897461,0.00417780876159668
ts_mean_6,ACK,0,9,ET,0.4301,0.5597236997634017,0.5820687765244881,0.5597236997634017,0.42252921362289964,0.0816266108930348,0.5597236997634017,0.0186002254486084,0.007022380828857422
ts_mean_6,ACK,0,10,ET,0.4294,0.5600011087871726,0.5832542532876399,0.5600011087871726,0.4214943676454392,0.08188234553959706,0.5600011087871726,0.022539138793945312,0.010129928588867188
ts_mean_6,ACK,0,11,ET,0.4244,0.554105813314315,0.5750742640770456,0.554105813314315,0.41642509291397617,0.07383715053030515,0.5541058133143149,0.01601409912109375,0.005066394805908203
ts_mean_6,ACK,0,12,ET,0.42675,0.5569914720188467,0.5791590242112986,0.5569914720188467,0.4187731718096289,0.0777629626388221,0.5569914720188467,0.009135723114013672,0.007024049758911133
ts_mean_6,ACK,0,13,ET,0.4248,0.5540720096900735,0.5746927158685345,0.5540720096900735,0.41698193767066605,0.07384195162819174,0.5540720096900735,0.007848262786865234,0.020334720611572266
ts_mean_6,ACK,0,14,ET,0.429,0.5572780364364868,0.5779300655815142,0.5572780364364868,0.4217463866744443,0.07840712824164131,0.5572780364364868,0.021229028701782227,0.00860738754272461
ts_mean_6,ACK,0,15,ET,0.425,0.5549970405027197,0.5764357106980716,0.5549970405027197,0.41697803166125647,0.07503457098506816,0.5549970405027197,0.02639293670654297,0.00695347785949707
ts_mean_6,ACK,0,16,ET,0.4262,0.556457859349121,0.5784981059418467,0.556457859349121,0.4181809273583577,0.07702279370064047,0.556457859349121,0.017573833465576172,0.010015249252319336
ts_mean_6,ACK,0,17,ET,0.43145,0.5603734969163066,0.5822875440381814,0.5603734969163066,0.4241686106419895,0.08262107719664169,0.5603734969163066,0.021924972534179688,0.0
ts_mean_6,ACK,0,18,ET,0.429,0.5594375892835131,0.5824051205271518,0.5594375892835131,0.4211162458291603,0.08112349501485772,0.5594375892835131,0.007727384567260742,0.0
ts_mean_6,ACK,0,19,ET,0.42465,0.5552046669139782,0.5771514044994736,0.5552046669139782,0.4164346708794873,0.07525415643401556,0.5552046669139782,0.02525019645690918,0.0050048828125
ts_mean_6,ACK,0,20,ET,0.42415,0.5548448770312697,0.5768074159203191,0.5548448770312697,0.41585708513735387,0.07474028939250832,0.5548448770312697,0.011116266250610352,0.006102561950683594
ts_mean_6,ACK,0,21,ET,0.42225,0.5533857796111465,0.5752964026450258,0.5533857796111465,0.4136870622459422,0.07267453296542925,0.5533857796111465,0.015051603317260742,0.00521397590637207
ts_mean_6,ACK,0,22,ET,0.4272,0.5564882201208061,0.5777475486626321,0.5564882201208061,0.41953671794568614,0.0771851715031141,0.5564882201208062,0.0,0.02413797378540039
ts_mean_6,ACK,0,23,ET,0.42785,0.5573235304316508,0.5789448584030383,0.5573235304316508,0.4201751468821433,0.0783191589296246,0.5573235304316508,0.008228540420532227,0.012622833251953125
ts_mean_6,ACK,0,24,ET,0.4251,0.5552987381438387,0.5769811009763004,0.5552987381438387,0.41702386250419066,0.07542727494524426,0.5552987381438387,0.013903617858886719,0.004964351654052734
