Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
pck_size_mean_9,ARP,0,0,ET,0.6635532791001305,0.5318622733262903,0.5899256837027635,0.5318622733262903,0.495827526685389,0.07799083907506443,0.5318622733262903,0.011565446853637695,0.0047075748443603516
pck_size_mean_9,ARP,0,1,ET,0.6654614843828462,0.5325287982102266,0.5958500298061675,0.5325287982102266,0.49516905646316606,0.07990982570248228,0.5325287982102266,0.008141040802001953,0.003279447555541992
pck_size_mean_9,ARP,0,2,ET,0.6641056543135483,0.5311394603295169,0.5914024026922626,0.5311394603295169,0.49343508992718443,0.07647263498025902,0.5311394603295169,0.012027978897094727,0.0030205249786376953
pck_size_mean_9,ARP,0,3,ET,0.6655619162398313,0.5326044927072366,0.5961794918747645,0.5326044927072366,0.4952317417491108,0.08010300674759141,0.5326044927072366,0.010292768478393555,0.002000093460083008
pck_size_mean_9,ARP,0,4,ET,0.6661645073817415,0.5329116748208675,0.5981745514672377,0.5329116748208675,0.4952515664105027,0.08093075750663192,0.5329116748208677,0.010098934173583984,0.0
pck_size_mean_9,ARP,0,5,ET,0.6663151551672191,0.5329884703492753,0.5986807453641072,0.5329884703492753,0.4952562928628069,0.08113792898534522,0.5329884703492753,0.023259639739990234,0.002590179443359375
pck_size_mean_9,ARP,0,6,ET,0.6658632118107863,0.5322436367245488,0.5971648691236576,0.5322436367245488,0.4939905790761274,0.07935256524816181,0.5322436367245488,0.01960444450378418,0.004225969314575195
pck_size_mean_9,ARP,0,7,ET,0.6643567339560108,0.5314389352233642,0.5922306630486301,0.5314389352233642,0.49385824091769825,0.07720460523412209,0.5314389352233642,0.012548685073852539,0.0
pck_size_mean_9,ARP,0,8,ET,0.6630009038867128,0.5299761049084397,0.5877943518108402,0.5299761049084397,0.49194763898523064,0.07360236970835943,0.5299761049084397,0.01139688491821289,0.002002716064453125
pck_size_mean_9,ARP,0,9,ET,0.6649091091694286,0.5328841490359262,0.5941457709682475,0.5328841490359262,0.496678227446774,0.08058999159824709,0.5328841490359262,0.009900331497192383,0.0029997825622558594
pck_size_mean_9,ARP,0,10,ET,0.6638545746710857,0.530582761915918,0.5905165566384595,0.530582761915918,0.4923865937737615,0.07515635560905887,0.530582761915918,0.00756525993347168,0.005031108856201172
pck_size_mean_9,ARP,0,11,ET,0.6649091091694286,0.5330678801214631,0.5941691958360485,0.5330678801214631,0.49711662005338936,0.08100379195719787,0.5330678801214631,0.0,0.0
pck_size_mean_9,ARP,0,12,ET,0.6641056543135483,0.5307719981584431,0.5913306925165865,0.5307719981584431,0.49254204917439015,0.07563847476955587,0.5307719981584431,0.008961915969848633,0.001994609832763672
pck_size_mean_9,ARP,0,13,ET,0.6648086773124435,0.5318163066770168,0.5936987597378947,0.5318163066770168,0.49422846413462035,0.07815600061888106,0.531816306677017,0.010021209716796875,0.002990245819091797
pck_size_mean_9,ARP,0,14,ET,0.6649593250979211,0.5321135795080689,0.5942098296221227,0.5321135795080689,0.4947669334833757,0.07886132946170898,0.5321135795080689,0.017804861068725586,0.0020508766174316406
pck_size_mean_9,ARP,0,15,ET,0.6640052224565632,0.5313944817864732,0.5911484958471669,0.5313944817864732,0.4941722608146436,0.07702940682583281,0.5313944817864732,0.004011631011962891,0.0
pck_size_mean_9,ARP,0,16,ET,0.6656121321683238,0.5325321013044195,0.596339648102613,0.5325321013044195,0.49499616642911537,0.07995041720139573,0.5325321013044195,0.01005244255065918,0.002553224563598633
pck_size_mean_9,ARP,0,17,ET,0.6660138595962639,0.5334595649832853,0.5976750680999501,0.5334595649832853,0.49675510845393994,0.08213331466110174,0.5334595649832853,0.014471292495727539,0.0025980472564697266
pck_size_mean_9,ARP,0,18,ET,0.6673194737370693,0.5352520102207785,0.6019054866105705,0.5352520102207785,0.4995124020292072,0.08646304490700418,0.5352520102207785,0.0,0.009631156921386719
pck_size_mean_9,ARP,0,19,ET,0.664858893240936,0.5317806614913072,0.5938532700918059,0.5317806614913072,0.4940815636559464,0.07808606039947652,0.5317806614913072,0.009526491165161133,0.002000093460083008
pck_size_mean_9,ARP,0,20,ET,0.6641056543135483,0.5315436687176981,0.5914822478463182,0.5315436687176981,0.4944120382247166,0.07738847405864668,0.531543668717698,0.004879951477050781,0.0
pck_size_mean_9,ARP,0,21,ET,0.6628000401727427,0.5296777310459901,0.5871118476477571,0.5296777310459901,0.4914660829512698,0.07288290385594842,0.52967773104599,0.0,0.015550613403320312
pck_size_mean_9,ARP,0,22,ET,0.6644069498845033,0.5308520967810438,0.5922900599562313,0.5308520967810438,0.49236987286713896,0.0758833377590763,0.5308520967810438,0.012702703475952148,0.0019989013671875
pck_size_mean_9,ARP,0,23,ET,0.6660138595962639,0.5341944893254329,0.5976885889986665,0.5341944893254329,0.4985125287514802,0.08378618401897431,0.5341944893254329,0.009213924407958984,0.0030090808868408203
pck_size_mean_9,ARP,0,24,ET,0.6631013357436979,0.5303457691423089,0.5881995819805248,0.5303457691423089,0.49272260036503784,0.0744630022263233,0.5303457691423088,0.003551006317138672,0.0
