Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
entropy_std_9,BF,0,0,ET,0.9639047619047619,0.7748999999999999,0.8071868766726823,0.7748999999999999,0.7900218842627219,0.5801107887101029,0.7748999999999999,0.0036163330078125,0.0005326271057128906
entropy_std_9,BF,0,1,ET,0.9656190476190476,0.7919499999999999,0.8154184580353541,0.7919499999999999,0.8031673823972494,0.6063658549249702,0.79195,0.0,0.0
entropy_std_9,BF,0,2,ET,0.9643809523809523,0.7932,0.806021313779142,0.7932,0.7994537297316511,0.5989173730977428,0.7932,0.009970426559448242,0.0010063648223876953
entropy_std_9,BF,0,3,ET,0.9644761904761905,0.7733000000000001,0.81210922109735,0.7733000000000001,0.7912399674320492,0.5825739408473221,0.7733,0.003617525100708008,0.002240896224975586
entropy_std_9,BF,0,4,ET,0.9640952380952381,0.78355,0.806343222387137,0.78355,0.7944434990685956,0.5889194662235837,0.7835500000000001,0.008609771728515625,0.0
entropy_std_9,BF,0,5,ET,0.9612380952380952,0.77445,0.7881743010893818,0.77445,0.7811197541534619,0.5622535211267605,0.77445,0.008738517761230469,0.0011048316955566406
entropy_std_9,BF,0,6,ET,0.966952380952381,0.79265,0.8256231903795789,0.79265,0.8081377907152172,0.6163323329647765,0.7926500000000001,0.003246784210205078,0.0
entropy_std_9,BF,0,7,ET,0.962952380952381,0.7801,0.7989065420301442,0.7801,0.7891534810375702,0.5783306663913694,0.7800999999999999,0.0,0.0
entropy_std_9,BF,0,8,ET,0.9657142857142857,0.77395,0.822073137583719,0.77395,0.7958071979151159,0.5917485689599309,0.77395,0.005105495452880859,0.0021147727966308594
entropy_std_9,BF,0,9,ET,0.965047619047619,0.7821499999999999,0.813940144082003,0.7821499999999999,0.7970794501224342,0.5942189227610173,0.78215,0.0,0.01409912109375
entropy_std_9,BF,0,10,ET,0.9644761904761905,0.77425,0.811822702330012,0.77425,0.7916647937864456,0.5834175397542946,0.7742500000000001,0.005321025848388672,0.0
entropy_std_9,BF,0,11,ET,0.9636190476190476,0.77285,0.8055524199617279,0.77285,0.7881461568624799,0.576362484157161,0.77285,0.0,0.0
entropy_std_9,BF,0,12,ET,0.9632380952380952,0.7888,0.7990467780401915,0.7888,0.7938209989827891,0.5876487943839659,0.7888000000000001,0.015719890594482422,0.002433300018310547
entropy_std_9,BF,0,13,ET,0.962,0.7758,0.7931211751034479,0.7758,0.7841580843809742,0.56833754056978,0.7757999999999999,0.007006645202636719,0.0
entropy_std_9,BF,0,14,ET,0.965047619047619,0.78975,0.8117514871003206,0.78975,0.8002915789589882,0.6006114940146137,0.7897500000000001,0.004248857498168945,0.0
entropy_std_9,BF,0,15,ET,0.9659047619047619,0.7759499999999999,0.8229582531253044,0.7759499999999999,0.7973609375283015,0.5948480275921535,0.7759499999999999,0.003626108169555664,0.0
entropy_std_9,BF,0,16,ET,0.9644761904761905,0.79515,0.8062269006974068,0.79515,0.800571719863072,0.6011507714242069,0.79515,0.0036079883575439453,0.0
entropy_std_9,BF,0,17,ET,0.9647619047619047,0.782,0.8117744610281924,0.782,0.7960362252264077,0.5921259842519685,0.782,0.0005965232849121094,0.003354787826538086
entropy_std_9,BF,0,18,ET,0.9657142857142857,0.7948500000000001,0.8152906726571716,0.7948500000000001,0.8046798703074338,0.6093830732665082,0.79485,0.0,0.0
entropy_std_9,BF,0,19,ET,0.9648571428571429,0.7887,0.8106217578114325,0.7887,0.7992032496890099,0.5984349898948023,0.7887,0.003110170364379883,0.0016143321990966797
entropy_std_9,BF,0,20,ET,0.9659047619047619,0.78355,0.8202941442255558,0.78355,0.8006512377760335,0.6013785790031814,0.7835499999999999,0.003612041473388672,0.0
entropy_std_9,BF,0,21,ET,0.9635238095238096,0.769,0.8058534436710054,0.769,0.7860793995179858,0.5722491091847046,0.769,0.015001773834228516,0.0011098384857177734
entropy_std_9,BF,0,22,ET,0.964952380952381,0.78495,0.8123846166664181,0.78495,0.7979489940432603,0.5959426958067553,0.7849499999999999,0.0035686492919921875,0.0011031627655029297
entropy_std_9,BF,0,23,ET,0.9632380952380952,0.77075,0.8032007245909394,0.77075,0.7859277920128724,0.5719264892268694,0.77075,0.0,0.0
entropy_std_9,BF,0,24,ET,0.9662857142857143,0.79325,0.8201374478609906,0.79325,0.8060229837453836,0.6120851596743895,0.79325,0.0,0.0
