Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
TCP_SYN_ratio,HTTP,0,0,ET,0.9566986341179889,0.6099476439790577,0.9780817887614004,0.6099476439790577,0.6690528182946611,0.3474568828917576,0.6099476439790577,0.0055162906646728516,0.0020003318786621094
TCP_SYN_ratio,HTTP,0,1,ET,0.9566259808195292,0.6092931937172775,0.9780466279326322,0.6092931937172775,0.6681539436923969,0.34572519003738156,0.6092931937172775,0.0060079097747802734,0.0016088485717773438
TCP_SYN_ratio,HTTP,0,2,ET,0.9567712874164487,0.6106020942408377,0.9781169547627804,0.6106020942408377,0.6699498068261024,0.34918520802506126,0.6106020942408377,0.0,0.0
TCP_SYN_ratio,HTTP,0,3,ET,0.95640802092415,0.6073298429319371,0.9779411764705883,0.6073298429319371,0.6654459424423127,0.340509806426883,0.6073298429319371,0.002169370651245117,0.0
TCP_SYN_ratio,HTTP,0,4,ET,0.9559721011333915,0.6034031413612565,0.9777304130530649,0.6034031413612565,0.6599781857304543,0.329986768398128,0.6034031413612565,0.004349231719970703,0.0009951591491699219
TCP_SYN_ratio,HTTP,0,5,ET,0.9558994478349317,0.6027486910994765,0.9776953038877049,0.6027486910994765,0.6590601111681198,0.3282208500164191,0.6027486910994765,0.0029909610748291016,0.0
TCP_SYN_ratio,HTTP,0,6,ET,0.9558267945364719,0.6020942408376964,0.9776601998824221,0.6020942408376964,0.6581400820936495,0.32645145338505044,0.6020942408376964,0.008131742477416992,0.0011019706726074219
TCP_SYN_ratio,HTTP,0,7,ET,0.9563353676256902,0.606675392670157,0.9779060363208587,0.606675392670157,0.6645394624067592,0.3387645437741664,0.606675392670157,0.005111217498779297,0.0003857612609863281
TCP_SYN_ratio,HTTP,0,8,ET,0.956117407730311,0.6047120418848168,0.977800646868568,0.6047120418848168,0.66180849672054,0.33350821135698083,0.6047120418848168,0.004590749740600586,0.0
TCP_SYN_ratio,HTTP,0,9,ET,0.9558994478349317,0.6027486910994765,0.9776953038877049,0.6027486910994765,0.6590601111681198,0.3282208500164191,0.6027486910994765,0.0025169849395751953,0.0005931854248046875
TCP_SYN_ratio,HTTP,0,10,ET,0.9567712874164487,0.6106020942408377,0.9781169547627804,0.6106020942408377,0.6699498068261024,0.34918520802506126,0.6106020942408377,0.0058443546295166016,0.0
TCP_SYN_ratio,HTTP,0,11,ET,0.9563353676256902,0.606675392670157,0.9779060363208587,0.606675392670157,0.6645394624067592,0.3387645437741664,0.606675392670157,0.011112213134765625,0.0
TCP_SYN_ratio,HTTP,0,12,ET,0.9559721011333915,0.6034031413612565,0.9777304130530649,0.6034031413612565,0.6599781857304543,0.329986768398128,0.6034031413612565,0.0,0.0
TCP_SYN_ratio,HTTP,0,13,ET,0.9558994478349317,0.6027486910994765,0.9776953038877049,0.6027486910994765,0.6590601111681198,0.3282208500164191,0.6027486910994765,0.01869034767150879,0.0025343894958496094
TCP_SYN_ratio,HTTP,0,14,ET,0.9560447544318512,0.6040575916230366,0.9777655273796398,0.6040575916230366,0.6608943121379892,0.3317492187763317,0.6040575916230366,0.0,0.006511688232421875
TCP_SYN_ratio,HTTP,0,15,ET,0.9562627143272304,0.606020942408377,0.9778709013380384,0.606020942408377,0.6636310655932429,0.33701586374957515,0.606020942408377,0.019700050354003906,0.0
TCP_SYN_ratio,HTTP,0,16,ET,0.9566259808195292,0.6092931937172775,0.9780466279326322,0.6092931937172775,0.6681539436923969,0.34572519003738156,0.6092931937172775,0.0039997100830078125,0.0012407302856445312
TCP_SYN_ratio,HTTP,0,17,ET,0.9562627143272304,0.606020942408377,0.9778709013380384,0.606020942408377,0.6636310655932429,0.33701586374957515,0.606020942408377,0.003009319305419922,0.0019996166229248047
TCP_SYN_ratio,HTTP,0,18,ET,0.956117407730311,0.6047120418848168,0.977800646868568,0.6047120418848168,0.66180849672054,0.33350821135698083,0.6047120418848168,0.0055158138275146484,0.0020220279693603516
TCP_SYN_ratio,HTTP,0,19,ET,0.9566986341179889,0.6099476439790577,0.9780817887614004,0.6099476439790577,0.6690528182946611,0.3474568828917576,0.6099476439790577,0.007816076278686523,0.0007405281066894531
TCP_SYN_ratio,HTTP,0,20,ET,0.9558267945364719,0.6020942408376964,0.9776601998824221,0.6020942408376964,0.6581400820936495,0.32645145338505044,0.6020942408376964,0.0028960704803466797,0.0009951591491699219
TCP_SYN_ratio,HTTP,0,21,ET,0.956117407730311,0.6047120418848168,0.977800646868568,0.6047120418848168,0.66180849672054,0.33350821135698083,0.6047120418848168,0.0,0.0
TCP_SYN_ratio,HTTP,0,22,ET,0.9560447544318512,0.6040575916230366,0.9777655273796398,0.6040575916230366,0.6608943121379892,0.3317492187763317,0.6040575916230366,0.005510091781616211,0.0020089149475097656
TCP_SYN_ratio,HTTP,0,23,ET,0.9566986341179889,0.6099476439790577,0.9780817887614004,0.6099476439790577,0.6690528182946611,0.3474568828917576,0.6099476439790577,0.0,0.0
TCP_SYN_ratio,HTTP,0,24,ET,0.9565533275210695,0.6086387434554974,0.9780114722753346,0.6086387434554974,0.6672531769305963,0.34399011960909465,0.6086387434554974,0.0038187503814697266,0.0009033679962158203
