Attack,Feature,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ts_std_2,OS,0,0,ET,0.9533980582524272,0.5096817601349183,0.5012662426849844,0.5096817601349183,0.4949169319064116,0.004350422586196778,0.5096817601349183,0.006006002426147461,0.0
ts_std_2,OS,0,1,ET,0.9521035598705502,0.5090310714894352,0.5011473458646765,0.5090310714894352,0.4943946932006633,0.0039499521078592,0.5090310714894352,0.014508724212646484,0.005128622055053711
ts_std_2,OS,0,2,ET,0.9486515641855447,0.5174457593470096,0.5020510118455204,0.5174457593470096,0.4950832488090312,0.007094879670570653,0.5174457593470096,0.004872798919677734,0.0
ts_std_2,OS,0,3,ET,0.9486515641855447,0.5377454745047352,0.5043991076165991,0.5377454745047352,0.4991109472452987,0.01522472414142495,0.5377454745047351,0.010518789291381836,0.0
ts_std_2,OS,0,4,ET,0.9474649406688241,0.5269991523341795,0.5030865915568222,0.5269991523341795,0.49656482373707966,0.0106931715434887,0.5269991523341795,0.007998228073120117,0.003487110137939453
ts_std_2,OS,0,5,ET,0.949730312837109,0.5382877150426378,0.5045611553925093,0.5382877150426378,0.4996522901822592,0.01576616910662032,0.5382877150426377,0.016515731811523438,0.0
ts_std_2,OS,0,6,ET,0.9466019417475728,0.5367152174827202,0.5041103635970798,0.5367152174827202,0.49810948172925573,0.014254761433175389,0.5367152174827201,0.005808830261230469,0.004003286361694336
ts_std_2,OS,0,7,ET,0.9446601941747573,0.5052896117779071,0.5005778529980658,0.5052896117779071,0.491546952447578,0.0020062664347006987,0.5052896117779071,0.009988069534301758,0.0005567073822021484
ts_std_2,OS,0,8,ET,0.9533980582524272,0.5096817601349183,0.5012662426849844,0.5096817601349183,0.4949169319064116,0.004350422586196778,0.5096817601349183,0.007174968719482422,0.0
ts_std_2,OS,0,9,ET,0.9454153182308522,0.505669180154439,0.5006281818335651,0.505669180154439,0.49182564968382514,0.002179598397401672,0.505669180154439,0.005301713943481445,0.0021369457244873047
ts_std_2,OS,0,10,ET,0.9496224379719526,0.5280836334099848,0.5033529966366979,0.5280836334099848,0.49755520249357854,0.011588535304666081,0.5280836334099847,0.0,0.013102531433105469
ts_std_2,OS,0,11,ET,0.951024811218986,0.5084888309515325,0.5010534052137173,0.5084888309515325,0.4939664293959215,0.003632169344036318,0.5084888309515326,0.009018898010253906,0.00701141357421875
ts_std_2,OS,0,12,ET,0.9512405609492988,0.4882975639013875,0.49852729209751206,0.4882975639013875,0.48970679002572637,-0.005073292890913406,0.48829756390138745,0.010021448135375977,0.0029501914978027344
ts_std_2,OS,0,13,ET,0.9490830636461705,0.5075127979833078,0.5008949878308548,0.5075127979833078,0.49321004499147286,0.003093630511426526,0.507512797983308,0.006482601165771484,0.0030012130737304688
ts_std_2,OS,0,14,ET,0.9512405609492988,0.5288969942168387,0.5035693577343101,0.5288969942168387,0.4983211279261728,0.012310873481295004,0.5288969942168386,0.0,0.01027822494506836
ts_std_2,OS,0,15,ET,0.9488673139158577,0.5074043498757274,0.5008781741118314,0.5074043498757274,0.4931270764119601,0.0030362833822135116,0.5074043498757274,0.005715847015380859,0.0019910335540771484
ts_std_2,OS,0,16,ET,0.9528586839266451,0.5195604974448298,0.5025150080931015,0.5195604974448298,0.4969136051612743,0.00865125826472668,0.5195604974448299,0.005999326705932617,0.003382444381713867
ts_std_2,OS,0,17,ET,0.9490830636461705,0.5075127979833078,0.5008949878308548,0.5075127979833078,0.49321004499147286,0.003093630511426526,0.507512797983308,0.002947092056274414,0.0
ts_std_2,OS,0,18,ET,0.9502696871628911,0.5284089777327263,0.5034377330030939,0.5284089777327263,0.4978590562081025,0.011871955649422117,0.5284089777327263,0.0060122013092041016,0.0019981861114501953
ts_std_2,OS,0,19,ET,0.9541531823085221,0.5202111860903129,0.5026762604096331,0.5202111860903129,0.4975020825013638,0.00918648042214354,0.5202111860903129,0.003603696823120117,0.0
ts_std_2,OS,0,20,ET,0.946925566343042,0.49627845932863984,0.49957364332240245,0.49627845932863984,0.49039891734183827,-0.0014769063752027023,0.49627845932863984,0.004007577896118164,0.0
ts_std_2,OS,0,21,ET,0.9457389428263214,0.5261315674735354,0.5028896344185391,0.5261315674735354,0.49579529341465384,0.010027095322797885,0.5261315674735353,0.009113788604736328,0.004614353179931641
ts_std_2,OS,0,22,ET,0.9530744336569579,0.5196689455524103,0.5025412164897985,0.5196689455524103,0.4970107787592096,0.008738450707202805,0.5196689455524104,0.004106044769287109,0.004064798355102539
ts_std_2,OS,0,23,ET,0.9474649406688241,0.5269991523341795,0.5030865915568222,0.5269991523341795,0.49656482373707966,0.0106931715434887,0.5269991523341795,0.0066111087799072266,0.0019981861114501953
ts_std_2,OS,0,24,ET,0.9494066882416397,0.5076754701446786,0.5009204935629152,0.5076754701446786,0.4933348871764243,0.003180555689301534,0.5076754701446786,0.004996061325073242,0.003008127212524414
