Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Fuzzing,20,1,0,DT,0.75935,0.75935,0.7610927654894377,0.75935,0.7589477506878972,0.5186999999999999,0.7593500000000001,0.328113317489624,0.0
Fuzzing,20,1,1,DT,0.73225,0.7322500000000001,0.7346772408880082,0.7322500000000001,0.7315558779937357,0.4645,0.7322500000000001,0.32811641693115234,0.0
Fuzzing,20,1,2,DT,0.7532,0.7532,0.7539349996203011,0.7532,0.7530212837311206,0.5064,0.7532,0.312488317489624,0.01562952995300293
Fuzzing,20,1,3,DT,0.7271,0.7271,0.7304630645340421,0.7271,0.7261007717916192,0.45420000000000005,0.7271000000000001,0.3124961853027344,0.015627145767211914
Fuzzing,20,1,4,DT,0.72215,0.7221500000000001,0.7259509675110581,0.7221500000000001,0.7209765606477769,0.44430000000000003,0.7221500000000001,0.3124854564666748,0.0
Fuzzing,20,1,5,DT,0.77185,0.7718499999999999,0.7757883262458727,0.7718499999999999,0.7710325719714739,0.5437000000000001,0.7718499999999999,0.312488317489624,0.0
Fuzzing,20,1,6,DT,0.76645,0.7664500000000001,0.7692346645193101,0.7664500000000001,0.7658445389558803,0.5328999999999999,0.76645,0.3124840259552002,0.0
Fuzzing,20,1,7,DT,0.7678,0.7678,0.7708200114428028,0.7678,0.7671508538363592,0.5356000000000001,0.7678,0.3124978542327881,0.0
Fuzzing,20,1,8,DT,0.75535,0.75535,0.7564367816449793,0.75535,0.7550905177913263,0.5106999999999999,0.75535,0.31249403953552246,0.0
Fuzzing,20,1,9,DT,0.7299,0.7299,0.7326233777124909,0.7299,0.7291071480921074,0.4598,0.7299,0.32810306549072266,0.0
