Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ARPMitM,7,1,0,DT,0.49905,0.49905,0.4990461050465873,0.49905,0.49853810644540475,-0.0019000000000000128,0.49905,0.13247108459472656,0.003000497817993164
ARPMitM,7,1,1,DT,0.50255,0.50255,0.5025532176925971,0.50255,0.5023932227647474,0.005099999999999993,0.5025499999999999,0.12960124015808105,0.003003835678100586
ARPMitM,7,1,2,DT,0.50085,0.50085,0.5008543187607425,0.50085,0.5002183747325329,0.0017000000000000348,0.50085,0.12950682640075684,0.0020003318786621094
ARPMitM,7,1,3,DT,0.5012,0.5012,0.5012043938213634,0.5012,0.5007446591589393,0.0023999999999999577,0.5012,0.13503170013427734,0.003000497817993164
ARPMitM,7,1,4,DT,0.5,0.5,0.5,0.5,0.4994515941610788,0.0,0.5,0.13473773002624512,0.003000020980834961
ARPMitM,7,1,5,DT,0.5016,0.5016,0.5016062543690119,0.5016,0.5011143647672389,0.0031999999999999806,0.5015999999999999,0.12984132766723633,0.0030002593994140625
ARPMitM,7,1,6,DT,0.49865,0.49865,0.4986485013366472,0.49865,0.49851097595903276,-0.0026999999999999247,0.4986499999999999,0.1285254955291748,0.0019991397857666016
ARPMitM,7,1,7,DT,0.50185,0.50185,0.5018613535306089,0.50185,0.5010892096885772,0.0037000000000000366,0.50185,0.1290123462677002,0.0030012130737304688
ARPMitM,7,1,8,DT,0.4982,0.49820000000000003,0.49819870623876894,0.49820000000000003,0.49810988061016237,-0.0036000000000000476,0.49820000000000003,0.12981295585632324,0.0030007362365722656
ARPMitM,7,1,9,DT,0.50305,0.50305,0.5030637944588093,0.50305,0.5024900015019156,0.006099999999999994,0.50305,0.1296861171722412,0.003001689910888672
