Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Vid_Inj,9,1,0,DT,0.51115,0.51115,0.5112108941013815,0.51115,0.5104852769434803,0.022299999999999986,0.51115,0.17150545120239258,0.003998994827270508
Vid_Inj,9,1,1,DT,0.51055,0.5105500000000001,0.5105877356427269,0.5105500000000001,0.5101135001061483,0.021100000000000008,0.5105500000000001,0.16974353790283203,0.003012418746948242
Vid_Inj,9,1,2,DT,0.50995,0.50995,0.5099905385081993,0.50995,0.5094523774543682,0.01990000000000003,0.50995,0.16245651245117188,0.003968954086303711
Vid_Inj,9,1,3,DT,0.51135,0.51135,0.5113942242887899,0.51135,0.510875391386959,0.022700000000000053,0.51135,0.17011141777038574,0.0030031204223632812
Vid_Inj,9,1,4,DT,0.51245,0.5124500000000001,0.5125176233306379,0.5124500000000001,0.511790642749949,0.024900000000000033,0.51245,0.16643118858337402,0.0030012130737304688
Vid_Inj,9,1,5,DT,0.512,0.512,0.5120567385292492,0.512,0.5114251966295827,0.02400000000000002,0.512,0.16950631141662598,0.003000020980834961
Vid_Inj,9,1,6,DT,0.51195,0.51195,0.5119832810466179,0.51195,0.5116109004594342,0.023900000000000032,0.51195,0.1668224334716797,0.002992391586303711
Vid_Inj,9,1,7,DT,0.51385,0.5138499999999999,0.5139060727618942,0.5138499999999999,0.5133594358963482,0.027699999999999947,0.51385,0.1646738052368164,0.004006862640380859
Vid_Inj,9,1,8,DT,0.51045,0.51045,0.5105021985523548,0.51045,0.5098409467413854,0.02090000000000003,0.5104500000000001,0.16472601890563965,0.003000497817993164
Vid_Inj,9,1,9,DT,0.5125,0.5125,0.5125401731972478,0.5125,0.5121092531797791,0.025000000000000022,0.5125,0.1654503345489502,0.0030002593994140625
